crop,spam_code,stage,start_min_dap,start_max_dap,end_min_dap,end_max_dap,duration_min,duration_max,sah_mm_day,shh_mm_day,sam_mm_day,hhs_mm_day,hmm_mm_day,sensitivity_weight,rationale,notes,source,,
maize,maiz,initial,0,0,15,25,15,25,3.12_–_3.51,2.73_–_3.12,2.34_–_2.73,1.95_–_2.34,1.17_–_1.56,0.25,Small canopy; evapotranspiration low—early stress slows establishment but rarely limits final yield.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
maize,maiz,crop_development,15,25,40,65,25,40,5.52_–_6.21,4.83_–_5.52,4.14_–_4.83,3.45_–_4.14,2.07_–_2.76,0.5,Rapid leaf expansion; water deficits curtail biomass accumulation and future ear size.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
maize,maiz,mid_season,40,65,60,105,20,40,9.20_–_10.35,8.05_–_9.20,6.90_–_8.05,5.75_–_6.90,3.45_–_4.60,1,Silking/pollination period—water stress here causes the greatest yield loss.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
maize,maiz,late_season,60,105,80,140,20,35,6.64_–_7.47,5.81_–_6.64,4.98_–_5.81,4.15_–_4.98,2.49_–_3.32,0.75,Grain_filling; stress reduces kernel weight but impact is lower than at silking.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
maize,maiz,ripening,80,140,90,150,10,10,4.56_–_5.13,3.99_–_4.56,3.42_–_3.99,2.85_–_3.42,1.71_–_2.28,0.25,Physiological maturity approaching; moderate deficits mainly hasten drying rather than cut yield.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
pearl millet,pmil,initial,0,0,10,15,10,15,2.48–2.79,2.17–2.48,1.86–2.17,1.55–1.86,0.93–1.24,0.25,Low leaf area and ET; establishment phase—sensitive but generally recovers with later rainfall.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
pearl millet,pmil,crop_development,10,15,35,40,25,25,4.96–5.58,4.34–4.96,3.72–4.34,3.10–3.72,1.86–2.48,0.5,Vegetative growth and tillering; stress lowers biomass and yield potential.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
pearl millet,pmil,mid_season,35,40,65,80,30,40,8.24–9.27,7.21–8.24,6.18–7.21,5.15–6.18,3.09–4.12,1,Peak water use and flowering; most critical phase for yield loss if stressed.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
pearl millet,pmil,late_season,65,80,80,105,15,25,5.12–5.76,4.48–5.12,3.84–4.48,3.20–3.84,1.92–2.56,0.5,Grain filling; stress impacts final grain weight but less than flowering stress.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
sorghum,sorg,initial,0,0,20,25,20,25,4.16–4.68,3.64–4.16,3.12–3.64,2.60–3.12,1.56–2.08,0.25,Establishment phase; lower ET; stress mainly delays germination and reduces stand count.,,https://www.concern.net/knowledge-hub/crop-weather-and-climate-vulnerability-profiles,,
